algorithm,K,M,T,delta,n,trial,seed,time,cumulative_regret,phase,attempt,attempts_used
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,943144,7649303.675922906,distributed_exploration_phase8,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,953177,7666225.0966133345,distributed_exploration_phase8,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,963211,7756323.496614108,distributed_exploration_phase8,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,973244,7775928.917304536,distributed_exploration_phase9,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,983278,7777726.31730531,distributed_exploration_phase9,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,993311,7779586.737995738,distributed_exploration_phase9,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1003344,7781206.158686167,distributed_exploration_phase9,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1013378,7801597.55868694,distributed_exploration_phase9,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1023411,7849639.979377368,distributed_exploration_phase10,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1033445,7850408.379378142,distributed_exploration_phase10,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1043478,7851203.80006857,distributed_exploration_phase10,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1053512,7852361.200069344,distributed_exploration_phase10,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1063545,7853179.620759772,distributed_exploration_phase10,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1073579,7854144.0207605455,distributed_exploration_phase10,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1083612,7855352.441450974,distributed_exploration_phase10,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1093645,7867362.862141402,distributed_exploration_phase10,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1103679,7908063.262142176,distributed_exploration_phase11,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1113712,7909604.682832604,distributed_exploration_phase11,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1123746,7910942.082833378,distributed_exploration_phase11,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1133779,7912095.503523806,distributed_exploration_phase11,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1143813,7913409.9035245795,distributed_exploration_phase11,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1153846,7914692.324215008,distributed_exploration_phase11,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1163880,7915981.724215781,distributed_exploration_phase11,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1173913,7917326.14490621,distributed_exploration_phase11,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1183946,7918254.565596638,distributed_exploration_phase11,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1193980,7919536.965597412,distributed_exploration_phase11,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1204013,7920557.38628784,distributed_exploration_phase11,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1214047,7942551.786288613,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1224080,7943866.206979042,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1234114,7944832.606979815,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1244147,7946268.027670244,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1254181,7947631.427671017,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1264214,7948916.848361446,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1274247,7950127.269051874,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1284281,7951161.669052647,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1294314,7952206.089743076,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1304348,7953555.489743849,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1314381,7954528.910434278,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1324415,7955731.310435051,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1334448,7956958.73112548,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1344482,7958022.131126253,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1354515,7959291.551816681,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1364548,7960392.97250711,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1374582,7961785.372507883,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1384615,7962870.793198312,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1394649,7963996.193199085,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1404682,7965500.613889514,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1414716,7966813.013890287,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1424749,7967963.434580715,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1434783,7991941.834581489,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1444816,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1454849,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1464883,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1474916,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1484950,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1494983,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1505017,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1515050,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1525084,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1535117,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1545151,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1555184,7992363.862167699,distributed_exploration_phase12,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,1565217,7992363.862167699,distributed_exploration_phase12,0,1
