algorithm,K,M,T,delta,n,trial,seed,cumulative_regret,total_reward,total_steps,init_duration,find_good_duration,rank_duration,number_players_duration,exploration_duration,collision_count,final_assignment_success,player_count_success,rank_assignment_success,assignment_duplicate,attempt,attempts_used,retry_exhausted
izumi2026,10,4,1000000,7.238241365054197e-08,4,13,20260523,482280.1333321129,167246.0,211802,35578,25688,3290,6600,176224,156681,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,13,20260523,478463.1999987981,168260.0,210888,34664,26752,2632,5280,176224,153956,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,14,20260524,291736.73333319376,185087.0,155486,30580,10800,6580,13200,124906,92407,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,14,20260524,291736.73333319376,185087.0,155486,30580,10800,6580,13200,124906,92407,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,14,20260524,185058.93333406094,147380.0,108404,21410,11520,3290,6600,86994,59367,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,14,20260524,244467.4000010159,149219.0,128376,19734,12920,2194,4620,108642,78676,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,14,20260524,473005.73333165643,267306.0,241406,35578,25688,3290,6600,205828,152968,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,14,20260524,478891.1999987971,167832.0,210888,34664,26752,2632,5280,176224,154514,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,15,20260525,298070.66666649625,185052.0,157540,30580,10800,6580,13200,126960,94148,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,15,20260525,298070.66666649625,185052.0,157540,30580,10800,6580,13200,126960,94148,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,15,20260525,192696.06666791983,258245.0,147046,21410,11520,3290,6600,125636,60997,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,15,20260525,242883.133334365,154011.0,129422,19734,12920,2194,4620,109688,77867,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,15,20260525,490769.5999982034,272812.0,248994,35578,25688,3290,6600,213416,158694,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,15,20260525,487630.6666648863,273148.0,248080,34664,26752,2632,5280,213416,156362,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,16,20260526,298185.66666649695,184937.0,157540,30580,10800,6580,13200,126960,94129,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,16,20260526,298185.66666649695,184937.0,157540,30580,10800,6580,13200,126960,94129,1,1,1,0,0,1,0
