algorithm,K,M,T,delta,n,trial,seed,time,cumulative_regret,phase,attempt,attempts_used
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,331104,715142.3599996057,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,334448,722967.3199994967,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,337793,730794.6199993877,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,341137,738619.5799992786,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,344482,746446.8799991696,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,347826,754271.8399990606,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,351171,762099.1399989516,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,354515,769924.0999988426,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,357860,777751.3999987335,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,361204,785576.3599986245,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,364548,793401.3199985155,distributed_exploration_phase5,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,367893,798296.6199984065,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,371237,801733.5799982975,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,374582,805075.8799981885,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,377926,808401.8399980795,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,381271,811822.1399979704,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,384615,815250.0999978614,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,387960,822180.3999977524,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,391304,830005.3599976434,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,394649,837832.6599975344,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,397993,845657.6199974254,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,401338,853484.9199973163,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,404682,861309.8799972073,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,408027,869137.1799970983,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,411371,876962.1399969893,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,414716,884789.4399968802,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,418060,892614.3999967712,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,421405,900441.6999966622,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,424749,908266.6599965532,distributed_exploration_phase6,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,428094,915313.9599964442,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,431438,918469.9199963352,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,434783,921658.2199962261,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,438127,924805.1799961171,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,441472,927859.4799960081,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,444816,930994.4399958991,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,448161,934031.7399957901,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,451505,937129.6999956811,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,454849,940207.6599955721,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,458194,943313.959995463,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,461538,946412.919995354,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,464883,950014.219995245,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,468227,957839.179995136,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,471572,965666.479995027,distributed_exploration_phase7,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,474916,973491.439994918,distributed_exploration_phase7,0,1
